animal_id,binomial,Order,family,genus,species,IUCN.Status,terrestrial,marine,freshwater,aerial,Life.Habit.Method,Mass.g,Mass.Method,Island.Endemicity,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Genus.1.1,Species.1.1,Genus.1.0,Species.1.0,EltonTraits.1.0.Genus,EltonTraits.1.0.Species,IUCN.2016.3.Genus,IUCN.2016.3.Species
3783,Hylaeamys_yunganus,Rodentia,Cricetidae,Hylaeamys,yunganus,LC,t,f,f,f,Reported,61,Reported,Occurs on mainland,80,0,20,Reported 000 Species,Hylaeamys,yunganus,Hylaeamys,yunganus,Oryzomys,yunganus,Hylaeamys,yunganus
3784,Hyperacrius_fertilis,Rodentia,Cricetidae,Hyperacrius,fertilis,NT,t,f,f,f,Reported,22,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Hyperacrius,fertilis,Hyperacrius,fertilis,Hyperacrius,fertilis,Hyperacrius,fertilis
3785,Hyperacrius_wynnei,Rodentia,Cricetidae,Hyperacrius,wynnei,LC,t,f,f,f,Reported,53,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Hyperacrius,wynnei,Hyperacrius,wynnei,Hyperacrius,wynnei,Hyperacrius,wynnei
3786,Ichthyomys_hydrobates,Rodentia,Cricetidae,Ichthyomys,hydrobates,NT,t,f,t,f,Reported,66,Reported,Occurs on mainland,0,20,80,Reported 000 Species,Ichthyomys,hydrobates,Ichthyomys,hydrobates,Ichthyomys,hydrobates,Ichthyomys,hydrobates
3787,Ichthyomys_pittieri,Rodentia,Cricetidae,Ichthyomys,pittieri,VU,t,f,t,f,Reported,69,Reported,Occurs on mainland,0,20,80,Reported 000 Species,Ichthyomys,pittieri,Ichthyomys,pittieri,Ichthyomys,pittieri,Ichthyomys,pittieri
3788,Ichthyomys_stolzmanni,Rodentia,Cricetidae,Ichthyomys,stolzmanni,DD,t,f,t,f,Reported,85,Reported,Occurs on mainland,0,20,80,Reported 000 Species,Ichthyomys,stolzmanni,Ichthyomys,stolzmanni,Ichthyomys,stolzmanni,Ichthyomys,stolzmanni
3789,Ichthyomys_tweedii,Rodentia,Cricetidae,Ichthyomys,tweedii,DD,t,f,t,f,Reported,119,Reported,Occurs on mainland,0,20,80,Reported 000 Species,Ichthyomys,tweedii,Ichthyomys,tweedii,Ichthyomys,tweedii,Ichthyomys,tweedii
3790,Irenomys_tarsalis,Rodentia,Cricetidae,Irenomys,tarsalis,LC,t,f,f,f,Reported,43,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Irenomys,tarsalis,Irenomys,tarsalis,Irenomys,tarsalis,Irenomys,tarsalis
3791,Isthmomys_flavidus,Rodentia,Cricetidae,Isthmomys,flavidus,NT,t,f,f,f,Reported,234,Reported,Occurs on mainland,40,10,50,Reported 000 Species,Isthmomys,flavidus,Isthmomys,flavidus,Isthmomys,flavidus,Isthmomys,flavidus
3792,Isthmomys_pirrensis,Rodentia,Cricetidae,Isthmomys,pirrensis,LC,t,f,f,f,Reported,138,Reported,Occurs on mainland,40,10,50,Reported 000 Species,Isthmomys,pirrensis,Isthmomys,pirrensis,Isthmomys,pirrensis,Isthmomys,pirrensis
3793,Juliomys_pictipes,Rodentia,Cricetidae,Juliomys,pictipes,LC,t,f,f,f,Reported,23,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Juliomys,pictipes,Juliomys,pictipes,Juliomys,pictipes,Juliomys,pictipes
